"No.","Time","Source","Destination","Protocol","Length","Info"
"43","2020-08-10 01:39:18.025561","192.168.38.104","192.168.38.103","HTTP","2552","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/43 HTTP/1.1 "
"44","2020-08-10 01:39:18.025730","192.168.38.103","192.168.38.104","TCP","54","5985  >  63635 [ACK] Seq=2301 Ack=8163 Win=2102272 Len=0"
"45","2020-08-10 01:39:18.026263","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63635 [ACK] Seq=2301 Ack=8163 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"46","2020-08-10 01:39:18.026263","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"47","2020-08-10 01:39:18.026292","192.168.38.104","192.168.38.103","TCP","54","63635  >  5985 [ACK] Seq=8163 Ack=4260 Win=262656 Len=0"
"48","2020-08-10 01:39:18.319449","192.168.38.104","18.217.1.57","TCP","66","63636  >  80 [SYN] Seq=0 Win=62727 Len=0 MSS=8961 WS=256 SACK_PERM=1"
"49","2020-08-10 01:39:18.319679","192.168.38.104","18.217.1.57","TCP","66","63637  >  80 [SYN] Seq=0 Win=62727 Len=0 MSS=8961 WS=256 SACK_PERM=1"
"50","2020-08-10 01:39:18.368551","18.217.1.57","192.168.38.104","TCP","66","80  >  63636 [SYN, ACK] Seq=0 Ack=1 Win=62727 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"51","2020-08-10 01:39:18.368624","192.168.38.104","18.217.1.57","TCP","54","63636  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"52","2020-08-10 01:39:18.368859","192.168.38.104","18.217.1.57","HTTP","499","GET / HTTP/1.1 "
"53","2020-08-10 01:39:18.369816","18.217.1.57","192.168.38.104","TCP","66","80  >  63637 [SYN, ACK] Seq=0 Ack=1 Win=62727 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"54","2020-08-10 01:39:18.369851","192.168.38.104","18.217.1.57","TCP","54","63637  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"55","2020-08-10 01:39:18.417805","18.217.1.57","192.168.38.104","TCP","54","80  >  63636 [ACK] Seq=1 Ack=446 Win=62336 Len=0"
"56","2020-08-10 01:39:18.419277","18.217.1.57","192.168.38.104","TCP","71","80  >  63636 [PSH, ACK] Seq=1 Ack=446 Win=62336 Len=17 [TCP segment of a reassembled PDU]"
"57","2020-08-10 01:39:18.419393","18.217.1.57","192.168.38.104","HTTP","289","HTTP/1.0 200 OK  (text/html)"
"58","2020-08-10 01:39:18.419416","192.168.38.104","18.217.1.57","TCP","54","63636  >  80 [ACK] Seq=446 Ack=254 Win=262400 Len=0"
"59","2020-08-10 01:39:18.423284","192.168.38.104","18.217.1.57","TCP","54","63636  >  80 [FIN, ACK] Seq=446 Ack=254 Win=262400 Len=0"
"60","2020-08-10 01:39:18.472268","18.217.1.57","192.168.38.104","TCP","54","80  >  63636 [ACK] Seq=254 Ack=447 Win=62336 Len=0"
"61","2020-08-10 01:39:19.114009","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=1 Ack=1 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"62","2020-08-10 01:39:19.114058","192.168.38.104","192.168.38.103","HTTP","7557","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"63","2020-08-10 01:39:19.114337","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=1 Ack=7840 Win=8212 Len=0"
"64","2020-08-10 01:39:19.115424","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=1 Ack=7840 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"65","2020-08-10 01:39:19.115424","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"66","2020-08-10 01:39:19.115457","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=7840 Ack=1960 Win=8212 Len=0"
"67","2020-08-10 01:39:19.125383","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=7840 Ack=1960 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"68","2020-08-10 01:39:19.125424","192.168.38.104","192.168.38.103","HTTP","7611","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"69","2020-08-10 01:39:19.125690","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=1960 Ack=15733 Win=8212 Len=0"
"70","2020-08-10 01:39:19.126656","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=1960 Ack=15733 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"71","2020-08-10 01:39:19.126656","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"72","2020-08-10 01:39:19.126683","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=15733 Ack=3919 Win=8212 Len=0"
"73","2020-08-10 01:39:19.130156","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=15733 Ack=3919 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"74","2020-08-10 01:39:19.130190","192.168.38.104","192.168.38.103","HTTP","7623","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"75","2020-08-10 01:39:19.130672","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=3919 Ack=23638 Win=8212 Len=0"
"76","2020-08-10 01:39:19.138828","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=3919 Ack=23638 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"77","2020-08-10 01:39:19.138828","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"78","2020-08-10 01:39:19.138869","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=23638 Ack=5878 Win=8212 Len=0"
"79","2020-08-10 01:39:19.140095","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=23638 Ack=5878 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"80","2020-08-10 01:39:19.140135","192.168.38.104","192.168.38.103","HTTP","7627","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"81","2020-08-10 01:39:19.140416","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=5878 Ack=31547 Win=8212 Len=0"
"82","2020-08-10 01:39:19.142167","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=5878 Ack=31547 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"83","2020-08-10 01:39:19.142167","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"84","2020-08-10 01:39:19.142190","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=31547 Ack=7837 Win=8212 Len=0"
"85","2020-08-10 01:39:19.143380","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=31547 Ack=7837 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"86","2020-08-10 01:39:19.143414","192.168.38.104","192.168.38.103","HTTP","7611","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"87","2020-08-10 01:39:19.143636","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=7837 Ack=39440 Win=8212 Len=0"
"88","2020-08-10 01:39:19.148124","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=7837 Ack=39440 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"89","2020-08-10 01:39:19.148124","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"90","2020-08-10 01:39:19.148158","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=39440 Ack=9796 Win=8212 Len=0"
"91","2020-08-10 01:39:19.149325","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=39440 Ack=9796 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"92","2020-08-10 01:39:19.149363","192.168.38.104","192.168.38.103","HTTP","7611","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"93","2020-08-10 01:39:19.151822","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=9796 Ack=47333 Win=8212 Len=0"
"94","2020-08-10 01:39:19.153582","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=9796 Ack=47333 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"95","2020-08-10 01:39:19.153582","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"96","2020-08-10 01:39:19.153608","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=47333 Ack=11755 Win=8212 Len=0"
"97","2020-08-10 01:39:19.159955","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=47333 Ack=11755 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"98","2020-08-10 01:39:19.159993","192.168.38.104","192.168.38.103","HTTP","7619","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"99","2020-08-10 01:39:19.160226","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=11755 Ack=55234 Win=8212 Len=0"
"100","2020-08-10 01:39:19.161194","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=11755 Ack=55234 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"101","2020-08-10 01:39:19.161194","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"102","2020-08-10 01:39:19.161224","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=55234 Ack=13714 Win=8212 Len=0"
"103","2020-08-10 01:39:19.168011","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=55234 Ack=13714 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"104","2020-08-10 01:39:19.168051","192.168.38.104","192.168.38.103","HTTP","7603","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"105","2020-08-10 01:39:19.168265","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=13714 Ack=63119 Win=8212 Len=0"
"106","2020-08-10 01:39:19.172931","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=13714 Ack=63119 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"107","2020-08-10 01:39:19.172931","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"108","2020-08-10 01:39:19.172973","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=63119 Ack=15673 Win=8212 Len=0"
"109","2020-08-10 01:39:19.174297","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=63119 Ack=15673 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"110","2020-08-10 01:39:19.174338","192.168.38.104","192.168.38.103","HTTP","7611","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"111","2020-08-10 01:39:19.174588","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=15673 Ack=71012 Win=8212 Len=0"
"112","2020-08-10 01:39:19.176723","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=15673 Ack=71012 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"113","2020-08-10 01:39:19.176723","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"114","2020-08-10 01:39:19.176800","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=71012 Ack=17632 Win=8212 Len=0"
"115","2020-08-10 01:39:19.178301","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=71012 Ack=17632 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"116","2020-08-10 01:39:19.178341","192.168.38.104","192.168.38.103","HTTP","7603","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"117","2020-08-10 01:39:19.179302","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=17632 Ack=78897 Win=8212 Len=0"
"118","2020-08-10 01:39:19.180515","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=17632 Ack=78897 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"119","2020-08-10 01:39:19.180515","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"120","2020-08-10 01:39:19.180544","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=78897 Ack=19591 Win=8212 Len=0"
"121","2020-08-10 01:39:19.184206","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=78897 Ack=19591 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"122","2020-08-10 01:39:19.184247","192.168.38.104","192.168.38.103","HTTP","7611","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"123","2020-08-10 01:39:19.184998","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=19591 Ack=86790 Win=8212 Len=0"
"124","2020-08-10 01:39:19.185809","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=19591 Ack=86790 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"125","2020-08-10 01:39:19.185809","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"126","2020-08-10 01:39:19.185839","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=86790 Ack=21550 Win=8212 Len=0"
"127","2020-08-10 01:39:19.186999","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=86790 Ack=21550 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"128","2020-08-10 01:39:19.187038","192.168.38.104","192.168.38.103","HTTP","7611","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"129","2020-08-10 01:39:19.187314","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=21550 Ack=94683 Win=8212 Len=0"
"130","2020-08-10 01:39:19.188555","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=21550 Ack=94683 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"131","2020-08-10 01:39:19.188555","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"132","2020-08-10 01:39:19.188585","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=94683 Ack=23509 Win=8212 Len=0"
"133","2020-08-10 01:39:19.190217","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=94683 Ack=23509 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"134","2020-08-10 01:39:19.190256","192.168.38.104","192.168.38.103","HTTP","7607","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"135","2020-08-10 01:39:19.192896","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=23509 Ack=102572 Win=8212 Len=0"
"136","2020-08-10 01:39:19.194356","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=23509 Ack=102572 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"137","2020-08-10 01:39:19.194356","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"138","2020-08-10 01:39:19.194383","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=102572 Ack=25468 Win=8212 Len=0"
"139","2020-08-10 01:39:19.196474","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=102572 Ack=25468 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"140","2020-08-10 01:39:19.196511","192.168.38.104","192.168.38.103","HTTP","7611","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"141","2020-08-10 01:39:19.196894","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=25468 Ack=110465 Win=8212 Len=0"
"142","2020-08-10 01:39:19.198720","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=25468 Ack=110465 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"143","2020-08-10 01:39:19.198720","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"144","2020-08-10 01:39:19.198744","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=110465 Ack=27427 Win=8212 Len=0"
"145","2020-08-10 01:39:19.207180","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=110465 Ack=27427 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"146","2020-08-10 01:39:19.207217","192.168.38.104","192.168.38.103","HTTP","7619","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"147","2020-08-10 01:39:19.208108","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=27427 Ack=118366 Win=8212 Len=0"
"148","2020-08-10 01:39:19.211543","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=27427 Ack=118366 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"149","2020-08-10 01:39:19.211543","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"150","2020-08-10 01:39:19.211575","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=118366 Ack=29386 Win=8212 Len=0"
"151","2020-08-10 01:39:19.238862","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=118366 Ack=29386 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"152","2020-08-10 01:39:19.238919","192.168.38.104","192.168.38.103","HTTP","7619","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"153","2020-08-10 01:39:19.239198","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=29386 Ack=126267 Win=8212 Len=0"
"154","2020-08-10 01:39:19.240234","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=29386 Ack=126267 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"155","2020-08-10 01:39:19.240234","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"156","2020-08-10 01:39:19.240262","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=126267 Ack=31345 Win=8212 Len=0"
"157","2020-08-10 01:39:19.250128","192.168.38.104","192.168.38.103","TCP","390","63580  >  5985 [PSH, ACK] Seq=126267 Ack=31345 Win=8212 Len=336 [TCP segment of a reassembled PDU]"
"158","2020-08-10 01:39:19.250173","192.168.38.104","192.168.38.103","HTTP","7615","POST /wsman/subscriptions/EB489718-F373-4F7F-8493-B0D1503B3C3E/36 HTTP/1.1 "
"159","2020-08-10 01:39:19.252305","192.168.38.103","192.168.38.104","TCP","54","5985  >  63580 [ACK] Seq=31345 Ack=134164 Win=8212 Len=0"
"160","2020-08-10 01:39:19.254492","192.168.38.103","192.168.38.104","TCP","1514","5985  >  63580 [ACK] Seq=31345 Ack=134164 Win=8212 Len=1460 [TCP segment of a reassembled PDU]"
"161","2020-08-10 01:39:19.254492","192.168.38.103","192.168.38.104","HTTP","553","HTTP/1.1 200   (application/http-kerberos-session-encrypted)"
"162","2020-08-10 01:39:19.254521","192.168.38.104","192.168.38.103","TCP","54","63580  >  5985 [ACK] Seq=134164 Ack=33304 Win=8212 Len=0"
